UserId,GuideSession,GuideDownload,ConnectionRequested,PhotoUpload
511,25.0,3.0,2.0,2.0
2374,54.0,2.0,2.0,7.0
1221,20.0,1.0,2.0,7.0
983,23.0,1.0,2.0,7.0
1172,33.0,2.0,2.0,7.0
2202,11.0,1.0,2.0,7.0
1081,22.0,1.0,2.0,7.0
516,17.0,1.0,2.0,2.0
454,29.0,1.0,2.0,3.0
304,11.0,1.0,1.0,1.0
121,24.0,3.0,1.0,13.0
1296,35.0,4.0,2.0,7.0
1939,14.0,2.0,2.0,7.0
240,14.0,3.0,2.0,4.0
1418,18.0,1.0,2.0,7.0
1469,19.0,1.0,2.0,7.0
124,23.0,1.0,4.0,16.0
79,21.0,1.0,6.0,16.0
555,28.0,1.0,2.0,2.0
115,30.0,1.0,1.0,18.0
1190,21.0,2.0,2.0,7.0
237,24.0,1.0,1.0,3.0
1569,21.0,1.0,2.0,7.0
1723,28.0,1.0,2.0,7.0
677,20.0,1.0,2.0,7.0
404,31.0,3.0,4.0,9.0
1800,27.0,1.0,2.0,7.0
363,27.0,1.0,11.0,1.0
1718,31.0,1.0,2.0,7.0
2445,24.0,2.0,2.0,7.0
422,14.0,1.0,2.0,2.0
1880,15.0,2.0,2.0,7.0
1740,21.0,1.0,2.0,7.0
2499,52.0,1.0,2.0,7.0
67,26.0,3.0,4.0,18.0
2043,11.0,1.0,2.0,7.0
389,28.0,1.0,1.0,2.0
413,14.0,1.0,4.0,2.0
1064,18.0,3.0,2.0,7.0
2438,40.0,1.0,2.0,7.0
378,25.0,1.0,4.0,8.0
116,10.0,1.0,1.0,22.0
71,11.0,1.0,1.0,16.0
2410,4.0,1.0,2.0,7.0
1222,10.0,1.0,2.0,7.0
498,21.0,1.0,1.0,2.0
45,16.0,3.0,5.0,16.0
2092,74.0,1.0,2.0,7.0
2271,21.0,1.0,2.0,7.0
232,33.0,1.0,2.0,1.0
707,15.0,1.0,2.0,7.0
1871,26.0,1.0,2.0,7.0
523,28.0,1.0,2.0,2.0
1018,33.0,1.0,2.0,7.0
1065,22.0,1.0,2.0,7.0
1425,32.0,2.0,2.0,7.0
2286,68.0,1.0,2.0,7.0
275,25.0,2.0,1.0,2.0
207,30.0,4.0,4.0,2.0
597,19.0,1.0,2.0,4.0
3,11.0,4.0,4.0,21.0
376,20.0,4.0,3.0,9.0
2160,38.0,1.0,2.0,7.0
2035,5.0,1.0,2.0,7.0
1127,18.0,2.0,2.0,7.0
689,24.0,1.0,2.0,7.0
723,25.0,1.0,2.0,7.0
605,30.0,3.0,2.0,2.0
2047,84.0,2.0,2.0,7.0
330,35.0,2.0,1.0,8.0
1397,23.0,2.0,2.0,7.0
545,27.0,2.0,2.0,1.0
84,23.0,2.0,3.0,20.0
1228,15.0,2.0,2.0,7.0
346,30.0,1.0,3.0,7.0
1673,19.0,1.0,2.0,7.0
319,12.0,1.0,1.0,6.0
596,16.0,1.0,2.0,2.0
412,25.0,1.0,1.0,8.0
1817,28.0,1.0,2.0,7.0
2447,26.0,1.0,2.0,7.0
20,13.0,1.0,1.0,13.0
309,27.0,2.0,2.0,3.0
2066,20.0,1.0,2.0,7.0
2497,18.0,1.0,2.0,7.0
681,19.0,1.0,2.0,7.0
283,21.0,1.0,2.0,2.0
876,14.0,1.0,2.0,7.0
1551,20.0,2.0,2.0,7.0
1895,21.0,1.0,2.0,7.0
2225,26.0,2.0,2.0,7.0
328,24.0,1.0,1.0,2.0
1245,28.0,1.0,2.0,7.0
1323,12.0,2.0,2.0,7.0
609,14.0,1.0,2.0,3.0
477,23.0,2.0,1.0,3.0
2342,54.0,1.0,2.0,7.0
2253,32.0,2.0,2.0,7.0
483,26.0,2.0,2.0,2.0
1959,29.0,1.0,2.0,7.0
145,15.0,1.0,2.0,17.0
1709,21.0,1.0,2.0,7.0
745,10.0,1.0,2.0,7.0
1232,20.0,1.0,2.0,7.0
2007,42.0,1.0,2.0,7.0
1756,17.0,3.0,2.0,7.0
2211,13.0,1.0,2.0,7.0
1975,18.0,2.0,2.0,7.0
2,18.0,1.0,10.0,16.0
463,23.0,1.0,1.0,2.0
770,13.0,1.0,2.0,7.0
1630,24.0,1.0,2.0,7.0
298,16.0,1.0,5.0,3.0
239,16.0,1.0,8.0,4.0
139,15.0,1.0,1.0,15.0
1405,17.0,3.0,2.0,7.0
1606,36.0,2.0,2.0,7.0
1114,18.0,1.0,2.0,7.0
620,22.0,1.0,2.0,4.0
224,17.0,1.0,2.0,1.0
2179,25.0,1.0,2.0,7.0
546,28.0,1.0,2.0,2.0
43,13.0,1.0,3.0,15.0
973,16.0,1.0,2.0,7.0
1573,28.0,1.0,2.0,7.0
2216,22.0,1.0,2.0,7.0
966,10.0,1.0,2.0,7.0
2048,29.0,1.0,2.0,7.0
1055,16.0,2.0,2.0,7.0
1966,18.0,1.0,2.0,7.0
2006,9.0,1.0,2.0,7.0
1399,27.0,1.0,2.0,7.0
1863,20.0,1.0,2.0,7.0
17,18.0,1.0,1.0,17.0
1833,23.0,1.0,2.0,7.0
2397,41.0,1.0,2.0,7.0
89,11.0,1.0,2.0,16.0
1701,30.0,2.0,2.0,7.0
1534,26.0,1.0,2.0,7.0
2044,9.0,1.0,2.0,7.0
486,18.0,1.0,3.0,6.0
729,34.0,1.0,2.0,7.0
1465,26.0,1.0,2.0,7.0
2019,14.0,2.0,2.0,7.0
